rank	hand	abbreviation	description
1636	14 14 14 11 5	3K	Three Aces
1637	14 14 14 11 4	3K	Three Aces
1638	14 14 14 11 3	3K	Three Aces
1639	14 14 14 11 2	3K	Three Aces
1640	14 14 14 10 9	3K	Three Aces
1641	14 14 14 10 8	3K	Three Aces
1642	14 14 14 10 7	3K	Three Aces
1643	14 14 14 10 6	3K	Three Aces
1644	14 14 14 10 5	3K	Three Aces
1645	14 14 14 10 4	3K	Three Aces
1646	14 14 14 10 3	3K	Three Aces
1647	14 14 14 10 2	3K	Three Aces
1648	14 14 14 9 8	3K	Three Aces
1649	14 14 14 9 7	3K	Three Aces
1650	14 14 14 9 6	3K	Three Aces
1651	14 14 14 9 5	3K	Three Aces
1652	14 14 14 9 4	3K	Three Aces
1653	14 14 14 9 3	3K	Three Aces
1654	14 14 14 9 2	3K	Three Aces
1655	14 14 14 8 7	3K	Three Aces
1656	14 14 14 8 6	3K	Three Aces
1657	14 14 14 8 5	3K	Three Aces
1658	14 14 14 8 4	3K	Three Aces
1659	14 14 14 8 3	3K	Three Aces
1660	14 14 14 8 2	3K	Three Aces
1661	14 14 14 7 6	3K	Three Aces
1662	14 14 14 7 5	3K	Three Aces
1663	14 14 14 7 4	3K	Three Aces
1664	14 14 14 7 3	3K	Three Aces
1665	14 14 14 7 2	3K	Three Aces
1666	14 14 14 6 5	3K	Three Aces
1667	14 14 14 6 4	3K	Three Aces
1668	14 14 14 6 3	3K	Three Aces
1669	14 14 14 6 2	3K	Three Aces
1670	14 14 14 5 4	3K	Three Aces
1671	14 14 14 5 3	3K	Three Aces
1672	14 14 14 5 2	3K	Three Aces
1673	14 14 14 4 3	3K	Three Aces
1674	14 14 14 4 2	3K	Three Aces
1675	14 14 14 3 2	3K	Three Aces
1676	13 13 13 14 12	3K	Three Kings
1677	13 13 13 14 11	3K	Three Kings
1678	13 13 13 14 10	3K	Three Kings
1679	13 13 13 14 9	3K	Three Kings
1680	13 13 13 14 8	3K	Three Kings
1681	13 13 13 14 7	3K	Three Kings
1682	13 13 13 14 6	3K	Three Kings
1683	13 13 13 14 5	3K	Three Kings
1684	13 13 13 14 4	3K	Three Kings
1685	13 13 13 14 3	3K	Three Kings
1686	13 13 13 14 2	3K	Three Kings
1687	13 13 13 12 11	3K	Three Kings
1688	13 13 13 12 10	3K	Three Kings
1689	13 13 13 12 9	3K	Three Kings
1690	13 13 13 12 8	3K	Three Kings
1691	13 13 13 12 7	3K	Three Kings
1692	13 13 13 12 6	3K	Three Kings
1693	13 13 13 12 5	3K	Three Kings
1694	13 13 13 12 4	3K	Three Kings
1695	13 13 13 12 3	3K	Three Kings
1696	13 13 13 12 2	3K	Three Kings
1697	13 13 13 11 10	3K	Three Kings
1698	13 13 13 11 9	3K	Three Kings
1699	13 13 13 11 8	3K	Three Kings
1700	13 13 13 11 7	3K	Three Kings
1701	13 13 13 11 6	3K	Three Kings
1702	13 13 13 11 5	3K	Three Kings
1703	13 13 13 11 4	3K	Three Kings
1704	13 13 13 11 3	3K	Three Kings
1705	13 13 13 11 2	3K	Three Kings
1706	13 13 13 10 9	3K	Three Kings
1707	13 13 13 10 8	3K	Three Kings
1708	13 13 13 10 7	3K	Three Kings
1709	13 13 13 10 6	3K	Three Kings
1710	13 13 13 10 5	3K	Three Kings
1711	13 13 13 10 4	3K	Three Kings
1712	13 13 13 10 3	3K	Three Kings
1713	13 13 13 10 2	3K	Three Kings
1714	13 13 13 9 8	3K	Three Kings
1715	13 13 13 9 7	3K	Three Kings
1716	13 13 13 9 6	3K	Three Kings
1717	13 13 13 9 5	3K	Three Kings
1718	13 13 13 9 4	3K	Three Kings
1719	13 13 13 9 3	3K	Three Kings
1720	13 13 13 9 2	3K	Three Kings
1721	13 13 13 8 7	3K	Three Kings
1722	13 13 13 8 6	3K	Three Kings
1723	13 13 13 8 5	3K	Three Kings
1724	13 13 13 8 4	3K	Three Kings
1725	13 13 13 8 3	3K	Three Kings
1726	13 13 13 8 2	3K	Three Kings
1727	13 13 13 7 6	3K	Three Kings
1728	13 13 13 7 5	3K	Three Kings
1729	13 13 13 7 4	3K	Three Kings
1730	13 13 13 7 3	3K	Three Kings
1731	13 13 13 7 2	3K	Three Kings
1732	13 13 13 6 5	3K	Three Kings
1733	13 13 13 6 4	3K	Three Kings
1734	13 13 13 6 3	3K	Three Kings
1735	13 13 13 6 2	3K	Three Kings
1736	13 13 13 5 4	3K	Three Kings
1737	13 13 13 5 3	3K	Three Kings
1738	13 13 13 5 2	3K	Three Kings
1739	13 13 13 4 3	3K	Three Kings
1740	13 13 13 4 2	3K	Three Kings
1741	13 13 13 3 2	3K	Three Kings
1742	12 12 12 14 13	3K	Three Queens
1743	12 12 12 14 11	3K	Three Queens
1744	12 12 12 14 10	3K	Three Queens
1745	12 12 12 14 9	3K	Three Queens
1746	12 12 12 14 8	3K	Three Queens
1747	12 12 12 14 7	3K	Three Queens
1748	12 12 12 14 6	3K	Three Queens
1749	12 12 12 14 5	3K	Three Queens
1750	12 12 12 14 4	3K	Three Queens
1751	12 12 12 14 3	3K	Three Queens
1752	12 12 12 14 2	3K	Three Queens
1753	12 12 12 13 11	3K	Three Queens
1754	12 12 12 13 10	3K	Three Queens
1755	12 12 12 13 9	3K	Three Queens
1756	12 12 12 13 8	3K	Three Queens
1757	12 12 12 13 7	3K	Three Queens
1758	12 12 12 13 6	3K	Three Queens
1759	12 12 12 13 5	3K	Three Queens
1760	12 12 12 13 4	3K	Three Queens
1761	12 12 12 13 3	3K	Three Queens
1762	12 12 12 13 2	3K	Three Queens
1763	12 12 12 11 10	3K	Three Queens
1764	12 12 12 11 9	3K	Three Queens
1765	12 12 12 11 8	3K	Three Queens
1766	12 12 12 11 7	3K	Three Queens
1767	12 12 12 11 6	3K	Three Queens
1768	12 12 12 11 5	3K	Three Queens
1769	12 12 12 11 4	3K	Three Queens
1770	12 12 12 11 3	3K	Three Queens
1771	12 12 12 11 2	3K	Three Queens
1772	12 12 12 10 9	3K	Three Queens
1773	12 12 12 10 8	3K	Three Queens
1774	12 12 12 10 7	3K	Three Queens
1775	12 12 12 10 6	3K	Three Queens
1776	12 12 12 10 5	3K	Three Queens
1777	12 12 12 10 4	3K	Three Queens
1778	12 12 12 10 3	3K	Three Queens
1779	12 12 12 10 2	3K	Three Queens
1780	12 12 12 9 8	3K	Three Queens
1781	12 12 12 9 7	3K	Three Queens
1782	12 12 12 9 6	3K	Three Queens
1783	12 12 12 9 5	3K	Three Queens
1784	12 12 12 9 4	3K	Three Queens
1785	12 12 12 9 3	3K	Three Queens
1786	12 12 12 9 2	3K	Three Queens
1787	12 12 12 8 7	3K	Three Queens
1788	12 12 12 8 6	3K	Three Queens
1789	12 12 12 8 5	3K	Three Queens
1790	12 12 12 8 4	3K	Three Queens
1791	12 12 12 8 3	3K	Three Queens
1792	12 12 12 8 2	3K	Three Queens
1793	12 12 12 7 6	3K	Three Queens
1794	12 12 12 7 5	3K	Three Queens
1795	12 12 12 7 4	3K	Three Queens
1796	12 12 12 7 3	3K	Three Queens
1797	12 12 12 7 2	3K	Three Queens
1798	12 12 12 6 5	3K	Three Queens
1799	12 12 12 6 4	3K	Three Queens
1800	12 12 12 6 3	3K	Three Queens
1801	12 12 12 6 2	3K	Three Queens
1802	12 12 12 5 4	3K	Three Queens
1803	12 12 12 5 3	3K	Three Queens
1804	12 12 12 5 2	3K	Three Queens
1805	12 12 12 4 3	3K	Three Queens
1806	12 12 12 4 2	3K	Three Queens
1807	12 12 12 3 2	3K	Three Queens
1808	11 11 11 14 13	3K	Three Jacks
1809	11 11 11 14 12	3K	Three Jacks
1810	11 11 11 14 10	3K	Three Jacks
1811	11 11 11 14 9	3K	Three Jacks
1812	11 11 11 14 8	3K	Three Jacks
1813	11 11 11 14 7	3K	Three Jacks
1814	11 11 11 14 6	3K	Three Jacks
1815	11 11 11 14 5	3K	Three Jacks
1816	11 11 11 14 4	3K	Three Jacks
1817	11 11 11 14 3	3K	Three Jacks
1818	11 11 11 14 2	3K	Three Jacks
1819	11 11 11 13 12	3K	Three Jacks
1820	11 11 11 13 10	3K	Three Jacks
1821	11 11 11 13 9	3K	Three Jacks
1822	11 11 11 13 8	3K	Three Jacks
1823	11 11 11 13 7	3K	Three Jacks
1824	11 11 11 13 6	3K	Three Jacks
1825	11 11 11 13 5	3K	Three Jacks
1826	11 11 11 13 4	3K	Three Jacks
1827	11 11 11 13 3	3K	Three Jacks
1828	11 11 11 13 2	3K	Three Jacks
1829	11 11 11 12 10	3K	Three Jacks
1830	11 11 11 12 9	3K	Three Jacks
1831	11 11 11 12 8	3K	Three Jacks
1832	11 11 11 12 7	3K	Three Jacks
1833	11 11 11 12 6	3K	Three Jacks
1834	11 11 11 12 5	3K	Three Jacks
1835	11 11 11 12 4	3K	Three Jacks
1836	11 11 11 12 3	3K	Three Jacks
1837	11 11 11 12 2	3K	Three Jacks
1838	11 11 11 10 9	3K	Three Jacks
1839	11 11 11 10 8	3K	Three Jacks
1840	11 11 11 10 7	3K	Three Jacks
1841	11 11 11 10 6	3K	Three Jacks
1842	11 11 11 10 5	3K	Three Jacks
1843	11 11 11 10 4	3K	Three Jacks
1844	11 11 11 10 3	3K	Three Jacks
1845	11 11 11 10 2	3K	Three Jacks
1846	11 11 11 9 8	3K	Three Jacks
1847	11 11 11 9 7	3K	Three Jacks
1848	11 11 11 9 6	3K	Three Jacks
1849	11 11 11 9 5	3K	Three Jacks
1850	11 11 11 9 4	3K	Three Jacks
1851	11 11 11 9 3	3K	Three Jacks
1852	11 11 11 9 2	3K	Three Jacks
1853	11 11 11 8 7	3K	Three Jacks
1854	11 11 11 8 6	3K	Three Jacks
1855	11 11 11 8 5	3K	Three Jacks
1856	11 11 11 8 4	3K	Three Jacks
1857	11 11 11 8 3	3K	Three Jacks
1858	11 11 11 8 2	3K	Three Jacks
1859	11 11 11 7 6	3K	Three Jacks
1860	11 11 11 7 5	3K	Three Jacks
1861	11 11 11 7 4	3K	Three Jacks
1862	11 11 11 7 3	3K	Three Jacks
1863	11 11 11 7 2	3K	Three Jacks
1864	11 11 11 6 5	3K	Three Jacks
1865	11 11 11 6 4	3K	Three Jacks
1866	11 11 11 6 3	3K	Three Jacks
1867	11 11 11 6 2	3K	Three Jacks
1868	11 11 11 5 4	3K	Three Jacks
1869	11 11 11 5 3	3K	Three Jacks
1870	11 11 11 5 2	3K	Three Jacks
1871	11 11 11 4 3	3K	Three Jacks
1872	11 11 11 4 2	3K	Three Jacks
1873	11 11 11 3 2	3K	Three Jacks
1874	10 10 10 14 13	3K	Three Tens
1875	10 10 10 14 12	3K	Three Tens
1876	10 10 10 14 11	3K	Three Tens
1877	10 10 10 14 9	3K	Three Tens
1878	10 10 10 14 8	3K	Three Tens
1879	10 10 10 14 7	3K	Three Tens
1880	10 10 10 14 6	3K	Three Tens
1881	10 10 10 14 5	3K	Three Tens
1882	10 10 10 14 4	3K	Three Tens
1883	10 10 10 14 3	3K	Three Tens
1884	10 10 10 14 2	3K	Three Tens
1885	10 10 10 13 12	3K	Three Tens
1886	10 10 10 13 11	3K	Three Tens
1887	10 10 10 13 9	3K	Three Tens
1888	10 10 10 13 8	3K	Three Tens
1889	10 10 10 13 7	3K	Three Tens
1890	10 10 10 13 6	3K	Three Tens
1891	10 10 10 13 5	3K	Three Tens
1892	10 10 10 13 4	3K	Three Tens
1893	10 10 10 13 3	3K	Three Tens
1894	10 10 10 13 2	3K	Three Tens
1895	10 10 10 12 11	3K	Three Tens
1896	10 10 10 12 9	3K	Three Tens
1897	10 10 10 12 8	3K	Three Tens
1898	10 10 10 12 7	3K	Three Tens
1899	10 10 10 12 6	3K	Three Tens
1900	10 10 10 12 5	3K	Three Tens
1901	10 10 10 12 4	3K	Three Tens
1902	10 10 10 12 3	3K	Three Tens
1903	10 10 10 12 2	3K	Three Tens
1904	10 10 10 11 9	3K	Three Tens
1905	10 10 10 11 8	3K	Three Tens
1906	10 10 10 11 7	3K	Three Tens
1907	10 10 10 11 6	3K	Three Tens
1908	10 10 10 11 5	3K	Three Tens
1909	10 10 10 11 4	3K	Three Tens
1910	10 10 10 11 3	3K	Three Tens
1911	10 10 10 11 2	3K	Three Tens
1912	10 10 10 9 8	3K	Three Tens
1913	10 10 10 9 7	3K	Three Tens
1914	10 10 10 9 6	3K	Three Tens
1915	10 10 10 9 5	3K	Three Tens
1916	10 10 10 9 4	3K	Three Tens
1917	10 10 10 9 3	3K	Three Tens
1918	10 10 10 9 2	3K	Three Tens
1919	10 10 10 8 7	3K	Three Tens
1920	10 10 10 8 6	3K	Three Tens
1921	10 10 10 8 5	3K	Three Tens
1922	10 10 10 8 4	3K	Three Tens
1923	10 10 10 8 3	3K	Three Tens
1924	10 10 10 8 2	3K	Three Tens
1925	10 10 10 7 6	3K	Three Tens
1926	10 10 10 7 5	3K	Three Tens
1927	10 10 10 7 4	3K	Three Tens
1928	10 10 10 7 3	3K	Three Tens
1929	10 10 10 7 2	3K	Three Tens
1930	10 10 10 6 5	3K	Three Tens
1931	10 10 10 6 4	3K	Three Tens
1932	10 10 10 6 3	3K	Three Tens
1933	10 10 10 6 2	3K	Three Tens
1934	10 10 10 5 4	3K	Three Tens
1935	10 10 10 5 3	3K	Three Tens
1936	10 10 10 5 2	3K	Three Tens
1937	10 10 10 4 3	3K	Three Tens
1938	10 10 10 4 2	3K	Three Tens
1939	10 10 10 3 2	3K	Three Tens
1940	9 9 9 14 13	3K	Three Nines
1941	9 9 9 14 12	3K	Three Nines
1942	9 9 9 14 11	3K	Three Nines
1943	9 9 9 14 10	3K	Three Nines
1944	9 9 9 14 8	3K	Three Nines
1945	9 9 9 14 7	3K	Three Nines
1946	9 9 9 14 6	3K	Three Nines
1947	9 9 9 14 5	3K	Three Nines
1948	9 9 9 14 4	3K	Three Nines
1949	9 9 9 14 3	3K	Three Nines
1950	9 9 9 14 2	3K	Three Nines
1951	9 9 9 13 12	3K	Three Nines
1952	9 9 9 13 11	3K	Three Nines
1953	9 9 9 13 10	3K	Three Nines
1954	9 9 9 13 8	3K	Three Nines
1955	9 9 9 13 7	3K	Three Nines
1956	9 9 9 13 6	3K	Three Nines
1957	9 9 9 13 5	3K	Three Nines
1958	9 9 9 13 4	3K	Three Nines
1959	9 9 9 13 3	3K	Three Nines
1960	9 9 9 13 2	3K	Three Nines
1961	9 9 9 12 11	3K	Three Nines
1962	9 9 9 12 10	3K	Three Nines
1963	9 9 9 12 8	3K	Three Nines
1964	9 9 9 12 7	3K	Three Nines
1965	9 9 9 12 6	3K	Three Nines
1966	9 9 9 12 5	3K	Three Nines
1967	9 9 9 12 4	3K	Three Nines
1968	9 9 9 12 3	3K	Three Nines
1969	9 9 9 12 2	3K	Three Nines
1970	9 9 9 11 10	3K	Three Nines
1971	9 9 9 11 8	3K	Three Nines
1972	9 9 9 11 7	3K	Three Nines
1973	9 9 9 11 6	3K	Three Nines
1974	9 9 9 11 5	3K	Three Nines
1975	9 9 9 11 4	3K	Three Nines
1976	9 9 9 11 3	3K	Three Nines
1977	9 9 9 11 2	3K	Three Nines
1978	9 9 9 10 8	3K	Three Nines
1979	9 9 9 10 7	3K	Three Nines
1980	9 9 9 10 6	3K	Three Nines
1981	9 9 9 10 5	3K	Three Nines
1982	9 9 9 10 4	3K	Three Nines
1983	9 9 9 10 3	3K	Three Nines
1984	9 9 9 10 2	3K	Three Nines
1985	9 9 9 8 7	3K	Three Nines
1986	9 9 9 8 6	3K	Three Nines
1987	9 9 9 8 5	3K	Three Nines
1988	9 9 9 8 4	3K	Three Nines
1989	9 9 9 8 3	3K	Three Nines
1990	9 9 9 8 2	3K	Three Nines
1991	9 9 9 7 6	3K	Three Nines
1992	9 9 9 7 5	3K	Three Nines
1993	9 9 9 7 4	3K	Three Nines
1994	9 9 9 7 3	3K	Three Nines
1995	9 9 9 7 2	3K	Three Nines
1996	9 9 9 6 5	3K	Three Nines
1997	9 9 9 6 4	3K	Three Nines
1998	9 9 9 6 3	3K	Three Nines
1999	9 9 9 6 2	3K	Three Nines
2000	9 9 9 5 4	3K	Three Nines
2001	9 9 9 5 3	3K	Three Nines
2002	9 9 9 5 2	3K	Three Nines
2003	9 9 9 4 3	3K	Three Nines
2004	9 9 9 4 2	3K	Three Nines
2005	9 9 9 3 2	3K	Three Nines
2006	8 8 8 14 13	3K	Three Eights
2007	8 8 8 14 12	3K	Three Eights
2008	8 8 8 14 11	3K	Three Eights
2009	8 8 8 14 10	3K	Three Eights
2010	8 8 8 14 9	3K	Three Eights
2011	8 8 8 14 7	3K	Three Eights
2012	8 8 8 14 6	3K	Three Eights
2013	8 8 8 14 5	3K	Three Eights
2014	8 8 8 14 4	3K	Three Eights
2015	8 8 8 14 3	3K	Three Eights
2016	8 8 8 14 2	3K	Three Eights
2017	8 8 8 13 12	3K	Three Eights
2018	8 8 8 13 11	3K	Three Eights
2019	8 8 8 13 10	3K	Three Eights
2020	8 8 8 13 9	3K	Three Eights
2021	8 8 8 13 7	3K	Three Eights
2022	8 8 8 13 6	3K	Three Eights
2023	8 8 8 13 5	3K	Three Eights
2024	8 8 8 13 4	3K	Three Eights
2025	8 8 8 13 3	3K	Three Eights
2026	8 8 8 13 2	3K	Three Eights
2027	8 8 8 12 11	3K	Three Eights
2028	8 8 8 12 10	3K	Three Eights
2029	8 8 8 12 9	3K	Three Eights
2030	8 8 8 12 7	3K	Three Eights
2031	8 8 8 12 6	3K	Three Eights
2032	8 8 8 12 5	3K	Three Eights
2033	8 8 8 12 4	3K	Three Eights
2034	8 8 8 12 3	3K	Three Eights
2035	8 8 8 12 2	3K	Three Eights
2036	8 8 8 11 10	3K	Three Eights
2037	8 8 8 11 9	3K	Three Eights
2038	8 8 8 11 7	3K	Three Eights
2039	8 8 8 11 6	3K	Three Eights
2040	8 8 8 11 5	3K	Three Eights
2041	8 8 8 11 4	3K	Three Eights
2042	8 8 8 11 3	3K	Three Eights
2043	8 8 8 11 2	3K	Three Eights
2044	8 8 8 10 9	3K	Three Eights
2045	8 8 8 10 7	3K	Three Eights
2046	8 8 8 10 6	3K	Three Eights
2047	8 8 8 10 5	3K	Three Eights
2048	8 8 8 10 4	3K	Three Eights
2049	8 8 8 10 3	3K	Three Eights
2050	8 8 8 10 2	3K	Three Eights
2051	8 8 8 9 7	3K	Three Eights
2052	8 8 8 9 6	3K	Three Eights
2053	8 8 8 9 5	3K	Three Eights
2054	8 8 8 9 4	3K	Three Eights
2055	8 8 8 9 3	3K	Three Eights
2056	8 8 8 9 2	3K	Three Eights
2057	8 8 8 7 6	3K	Three Eights
2058	8 8 8 7 5	3K	Three Eights
2059	8 8 8 7 4	3K	Three Eights
2060	8 8 8 7 3	3K	Three Eights
2061	8 8 8 7 2	3K	Three Eights
2062	8 8 8 6 5	3K	Three Eights
2063	8 8 8 6 4	3K	Three Eights
2064	8 8 8 6 3	3K	Three Eights
2065	8 8 8 6 2	3K	Three Eights
2066	8 8 8 5 4	3K	Three Eights
2067	8 8 8 5 3	3K	Three Eights
2068	8 8 8 5 2	3K	Three Eights
2069	8 8 8 4 3	3K	Three Eights
2070	8 8 8 4 2	3K	Three Eights
2071	8 8 8 3 2	3K	Three Eights
2072	7 7 7 14 13	3K	Three Sevens
2073	7 7 7 14 12	3K	Three Sevens
2074	7 7 7 14 11	3K	Three Sevens
2075	7 7 7 14 10	3K	Three Sevens
2076	7 7 7 14 9	3K	Three Sevens
2077	7 7 7 14 8	3K	Three Sevens
2078	7 7 7 14 6	3K	Three Sevens
2079	7 7 7 14 5	3K	Three Sevens
2080	7 7 7 14 4	3K	Three Sevens
2081	7 7 7 14 3	3K	Three Sevens
2082	7 7 7 14 2	3K	Three Sevens
2083	7 7 7 13 12	3K	Three Sevens
2084	7 7 7 13 11	3K	Three Sevens
2085	7 7 7 13 10	3K	Three Sevens
2086	7 7 7 13 9	3K	Three Sevens
2087	7 7 7 13 8	3K	Three Sevens
2088	7 7 7 13 6	3K	Three Sevens
2089	7 7 7 13 5	3K	Three Sevens
2090	7 7 7 13 4	3K	Three Sevens
2091	7 7 7 13 3	3K	Three Sevens
2092	7 7 7 13 2	3K	Three Sevens
2093	7 7 7 12 11	3K	Three Sevens
2094	7 7 7 12 10	3K	Three Sevens
2095	7 7 7 12 9	3K	Three Sevens
2096	7 7 7 12 8	3K	Three Sevens
2097	7 7 7 12 6	3K	Three Sevens
2098	7 7 7 12 5	3K	Three Sevens
2099	7 7 7 12 4	3K	Three Sevens
2100	7 7 7 12 3	3K	Three Sevens
2101	7 7 7 12 2	3K	Three Sevens
2102	7 7 7 11 10	3K	Three Sevens
2103	7 7 7 11 9	3K	Three Sevens
2104	7 7 7 11 8	3K	Three Sevens
2105	7 7 7 11 6	3K	Three Sevens
2106	7 7 7 11 5	3K	Three Sevens
2107	7 7 7 11 4	3K	Three Sevens
2108	7 7 7 11 3	3K	Three Sevens
2109	7 7 7 11 2	3K	Three Sevens
2110	7 7 7 10 9	3K	Three Sevens
2111	7 7 7 10 8	3K	Three Sevens
2112	7 7 7 10 6	3K	Three Sevens
2113	7 7 7 10 5	3K	Three Sevens
2114	7 7 7 10 4	3K	Three Sevens
2115	7 7 7 10 3	3K	Three Sevens
2116	7 7 7 10 2	3K	Three Sevens
2117	7 7 7 9 8	3K	Three Sevens
2118	7 7 7 9 6	3K	Three Sevens
2119	7 7 7 9 5	3K	Three Sevens
2120	7 7 7 9 4	3K	Three Sevens
2121	7 7 7 9 3	3K	Three Sevens
2122	7 7 7 9 2	3K	Three Sevens
2123	7 7 7 8 6	3K	Three Sevens
2124	7 7 7 8 5	3K	Three Sevens
2125	7 7 7 8 4	3K	Three Sevens
2126	7 7 7 8 3	3K	Three Sevens
2127	7 7 7 8 2	3K	Three Sevens
2128	7 7 7 6 5	3K	Three Sevens
2129	7 7 7 6 4	3K	Three Sevens
2130	7 7 7 6 3	3K	Three Sevens
2131	7 7 7 6 2	3K	Three Sevens
2132	7 7 7 5 4	3K	Three Sevens
2133	7 7 7 5 3	3K	Three Sevens
2134	7 7 7 5 2	3K	Three Sevens
2135	7 7 7 4 3	3K	Three Sevens
2136	7 7 7 4 2	3K	Three Sevens
2137	7 7 7 3 2	3K	Three Sevens
2138	6 6 6 14 13	3K	Three Sixes
2139	6 6 6 14 12	3K	Three Sixes
2140	6 6 6 14 11	3K	Three Sixes
2141	6 6 6 14 10	3K	Three Sixes
2142	6 6 6 14 9	3K	Three Sixes
2143	6 6 6 14 8	3K	Three Sixes
2144	6 6 6 14 7	3K	Three Sixes
2145	6 6 6 14 5	3K	Three Sixes
2146	6 6 6 14 4	3K	Three Sixes
2147	6 6 6 14 3	3K	Three Sixes
2148	6 6 6 14 2	3K	Three Sixes
2149	6 6 6 13 12	3K	Three Sixes
2150	6 6 6 13 11	3K	Three Sixes
2151	6 6 6 13 10	3K	Three Sixes
2152	6 6 6 13 9	3K	Three Sixes
2153	6 6 6 13 8	3K	Three Sixes
2154	6 6 6 13 7	3K	Three Sixes
2155	6 6 6 13 5	3K	Three Sixes
2156	6 6 6 13 4	3K	Three Sixes
2157	6 6 6 13 3	3K	Three Sixes
2158	6 6 6 13 2	3K	Three Sixes
2159	6 6 6 12 11	3K	Three Sixes
2160	6 6 6 12 10	3K	Three Sixes
2161	6 6 6 12 9	3K	Three Sixes
2162	6 6 6 12 8	3K	Three Sixes
2163	6 6 6 12 7	3K	Three Sixes
2164	6 6 6 12 5	3K	Three Sixes
2165	6 6 6 12 4	3K	Three Sixes
2166	6 6 6 12 3	3K	Three Sixes
2167	6 6 6 12 2	3K	Three Sixes
2168	6 6 6 11 10	3K	Three Sixes
2169	6 6 6 11 9	3K	Three Sixes
2170	6 6 6 11 8	3K	Three Sixes
2171	6 6 6 11 7	3K	Three Sixes
2172	6 6 6 11 5	3K	Three Sixes
2173	6 6 6 11 4	3K	Three Sixes
2174	6 6 6 11 3	3K	Three Sixes
2175	6 6 6 11 2	3K	Three Sixes
2176	6 6 6 10 9	3K	Three Sixes
2177	6 6 6 10 8	3K	Three Sixes
2178	6 6 6 10 7	3K	Three Sixes
2179	6 6 6 10 5	3K	Three Sixes
2180	6 6 6 10 4	3K	Three Sixes
2181	6 6 6 10 3	3K	Three Sixes
2182	6 6 6 10 2	3K	Three Sixes
2183	6 6 6 9 8	3K	Three Sixes
2184	6 6 6 9 7	3K	Three Sixes
2185	6 6 6 9 5	3K	Three Sixes
2186	6 6 6 9 4	3K	Three Sixes
2187	6 6 6 9 3	3K	Three Sixes
2188	6 6 6 9 2	3K	Three Sixes
2189	6 6 6 8 7	3K	Three Sixes
2190	6 6 6 8 5	3K	Three Sixes
2191	6 6 6 8 4	3K	Three Sixes
2192	6 6 6 8 3	3K	Three Sixes
2193	6 6 6 8 2	3K	Three Sixes
2194	6 6 6 7 5	3K	Three Sixes
2195	6 6 6 7 4	3K	Three Sixes
2196	6 6 6 7 3	3K	Three Sixes
2197	6 6 6 7 2	3K	Three Sixes
2198	6 6 6 5 4	3K	Three Sixes
2199	6 6 6 5 3	3K	Three Sixes
2200	6 6 6 5 2	3K	Three Sixes
2201	6 6 6 4 3	3K	Three Sixes
2202	6 6 6 4 2	3K	Three Sixes
2203	6 6 6 3 2	3K	Three Sixes
2204	5 5 5 14 13	3K	Three Fives
2205	5 5 5 14 12	3K	Three Fives
2206	5 5 5 14 11	3K	Three Fives
2207	5 5 5 14 10	3K	Three Fives
2208	5 5 5 14 9	3K	Three Fives
2209	5 5 5 14 8	3K	Three Fives
2210	5 5 5 14 7	3K	Three Fives
2211	5 5 5 14 6	3K	Three Fives
2212	5 5 5 14 4	3K	Three Fives
2213	5 5 5 14 3	3K	Three Fives
2214	5 5 5 14 2	3K	Three Fives
2215	5 5 5 13 12	3K	Three Fives
2216	5 5 5 13 11	3K	Three Fives
2217	5 5 5 13 10	3K	Three Fives
2218	5 5 5 13 9	3K	Three Fives
2219	5 5 5 13 8	3K	Three Fives
2220	5 5 5 13 7	3K	Three Fives
2221	5 5 5 13 6	3K	Three Fives
2222	5 5 5 13 4	3K	Three Fives
2223	5 5 5 13 3	3K	Three Fives
2224	5 5 5 13 2	3K	Three Fives
2225	5 5 5 12 11	3K	Three Fives
2226	5 5 5 12 10	3K	Three Fives
2227	5 5 5 12 9	3K	Three Fives
2228	5 5 5 12 8	3K	Three Fives
2229	5 5 5 12 7	3K	Three Fives
2230	5 5 5 12 6	3K	Three Fives
2231	5 5 5 12 4	3K	Three Fives
2232	5 5 5 12 3	3K	Three Fives
2233	5 5 5 12 2	3K	Three Fives
2234	5 5 5 11 10	3K	Three Fives
2235	5 5 5 11 9	3K	Three Fives
2236	5 5 5 11 8	3K	Three Fives
2237	5 5 5 11 7	3K	Three Fives
2238	5 5 5 11 6	3K	Three Fives
2239	5 5 5 11 4	3K	Three Fives
2240	5 5 5 11 3	3K	Three Fives
2241	5 5 5 11 2	3K	Three Fives
2242	5 5 5 10 9	3K	Three Fives
2243	5 5 5 10 8	3K	Three Fives
2244	5 5 5 10 7	3K	Three Fives
2245	5 5 5 10 6	3K	Three Fives
2246	5 5 5 10 4	3K	Three Fives
2247	5 5 5 10 3	3K	Three Fives
2248	5 5 5 10 2	3K	Three Fives
2249	5 5 5 9 8	3K	Three Fives
2250	5 5 5 9 7	3K	Three Fives
2251	5 5 5 9 6	3K	Three Fives
2252	5 5 5 9 4	3K	Three Fives
2253	5 5 5 9 3	3K	Three Fives
2254	5 5 5 9 2	3K	Three Fives
2255	5 5 5 8 7	3K	Three Fives
2256	5 5 5 8 6	3K	Three Fives
2257	5 5 5 8 4	3K	Three Fives
2258	5 5 5 8 3	3K	Three Fives
2259	5 5 5 8 2	3K	Three Fives
2260	5 5 5 7 6	3K	Three Fives
2261	5 5 5 7 4	3K	Three Fives
